,Price,PrivPer,F,G,H,J,K,Age,Mileage,Dispacement,Diesel,LPG,Doors5,FirstOwner,ServDealership,ABS,ElecWin,PowSteer,ParkingSens,MultiSteer,AAWheels,CruContr,OnBoardComp,Native
121,25900.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,167908.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
122,18800.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,149000.0,1900.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
123,36000.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,139352.0,1989.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
124,15000.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,145000.0,1580.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
125,14900.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,143783.0,1598.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
126,35900.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,160000.0,1362.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
127,13600.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,200000.0,1598.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
128,11700.0,1.0,0.0,0.0,1.0,0.0,0.0,11.0,195000.0,1700.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
130,29900.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,116690.0,1700.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
132,8900.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,323134.0,1686.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
133,57000.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33000.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
135,4900.0,1.0,0.0,1.0,0.0,0.0,0.0,17.0,250000.0,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
136,8888.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,254000.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
137,31900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,199000.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
139,13500.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,221357.0,1900.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
140,5400.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,251000.0,2172.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
142,29900.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,138000.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
143,11900.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,274000.0,1910.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
144,12900.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,223000.0,1900.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,16900.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,197000.0,1400.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
147,28500.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,198000.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
148,17699.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,141000.0,1600.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
149,36900.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,31000.0,1600.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
150,33900.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,103115.0,1700.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
151,9500.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,269000.0,1700.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
152,22500.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,110382.0,1598.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
154,35900.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,98500.0,1600.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
155,42900.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,53000.0,1400.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
156,8900.0,1.0,0.0,1.0,0.0,0.0,0.0,10.0,196000.0,1686.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
157,13500.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,175000.0,1600.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
